timestamp,symbol,timeframe,iteration,direction,setup_id,range_high,range_low,range_quality_score,range_bars,range_touches_high,range_touches_low,atr_at_setup,range_height_atr,ssl_bsl_sweep_type,sweep_bar,sweep_wick_size_atr,sweep_wick_size_abs,structure_break_type,breakout_bar,breakout_direction,breakout_body_atr,breakout_quality,htf_trend,retest_zone_type,retest_zone_top,retest_zone_bottom,entry_price,sl_price,tp1_price,tp2_price,tp_score,rr_tp1,rr_tp2,rejection_reason,entry_bar,exit_bar,exit_reason,exit_price,r_multiple,mae_abs,mfe_abs,bars_held,session
2024-04-11 07:45:00+00:00,XAU/USD,5min,1,LONG,SETUP_00003,2339.77002,2333.94995,70.0,20,3,3,1.8377,2.827,SSL_SWING_LOW,444,0.486,1.04,MSS_BULLISH,444,LONG,1.015,STRONG,RANGING,OB,2338.81,2337.88,2339.04,2336.96,2341.11,2345.59,30.0,1.0,3.16,,449,451,SL,2336.91,-1.024,3.35,0.52,2,london
2024-04-15 15:20:00+00:00,XAU/USD,5min,1,LONG,SETUP_00006,2352.47998,2342.94995,65.0,8,2,3,4.9833,1.912,SSL_EQUAL_LOWS,1026,0.456,0.835,MSS_BULLISH,1026,LONG,1.686,STRONG,RANGING,OB,2348.9,2348.59,2349.12,2346.1,2352.15,2365.56,35.0,1.0,5.43,,1080,1083,SL,2346.05,-1.017,3.85,2.87,3,new_york
2024-04-15 15:55:00+00:00,XAU/USD,5min,1,LONG,SETUP_00007,2352.47998,2342.94995,65.0,15,2,3,3.5916,1.912,SSL_EQUAL_LOWS,1085,0.292,1.193,MSS_BULLISH,1085,LONG,0.401,MODERATE,RANGING,OB,2351.44,2348.94,2351.66,2347.14,2356.19,2365.56,35.0,1.0,3.07,,1087,1094,SL,2347.09,-1.011,5.06,0.44,7,new_york
2024-04-22 16:00:00+00:00,XAU/USD,5min,1,LONG,SETUP_00024,2340.76001,2331.44995,65.0,32,4,2,2.6007,2.314,SSL_SESSION_LOW,2437,0.593,2.12,MSS_BULLISH,2437,LONG,0.52,MODERATE,RANGING,OB,2335.26,2334.93,2335.49,2333.63,2337.34,2343.81,35.0,1.0,4.49,,2456,2458,SL,2333.58,-1.027,2.33,0.86,2,new_york
2024-04-23 08:45:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00025,2314.3999,2298.1499,80.0,82,5,2,2.0502,3.039,BSL_SWING_HIGH,2614,0.473,1.21,MSS_BEARISH,2625,SHORT,0.696,MODERATE,DOWNTREND,BB,2302.62,2301.79,2301.57,2303.65,2299.48,2281.9,40.0,1.0,9.45,,2645,2646,SL,2303.7,-1.024,2.23,0.0,1,london
2024-05-03 07:25:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00052,2302.53003,2297.90991,70.0,13,2,2,1.6442,3.082,BSL_SWING_HIGH,4812,0.317,0.42,MSS_BEARISH,4821,SHORT,0.595,MODERATE,RANGING,OB,2301.88,2300.94,2300.71,2302.7,2298.73,2293.29,30.0,1.0,3.74,,4825,4834,SL,2302.75,-1.025,2.01,1.91,9,london
2024-05-03 10:55:00+00:00,XAU/USD,5min,1,LONG,SETUP_00053,2302.53003,2297.90991,70.0,55,2,2,1.1452,3.082,SSL_EQUAL_LOWS,4833,0.226,0.357,MSS_BULLISH,4839,LONG,0.307,MODERATE,RANGING,OB,2298.89,2298.69,2299.12,2298.12,2300.12,2302.13,35.0,1.0,3.02,,4867,4870,SL,2298.07,-1.05,2.47,0.7,3,london
2024-08-27 12:30:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00079,2512.56006,2508.59009,65.0,53,5,2,1.5745,2.133,BSL_SWING_HIGH,7682,0.233,0.33,MSS_BEARISH,7692,SHORT,1.682,STRONG,DOWNTREND,BB,2509.47,2509.14,2508.91,2510.26,2507.57,2506.17,35.0,1.0,2.05,,7698,7702,SL,2510.31,-1.037,2.23,1.07,4,new_york
2024-08-28 15:50:00+00:00,XAU/USD,5min,1,SHORT,SETUP_00085,2509.1001,2503.72998,65.0,23,4,3,1.8286,1.873,BSL_SWING_HIGH,7945,0.652,0.74,MSS_BEARISH,7964,SHORT,0.685,MODERATE,RANGING,BB,2510.07,2509.1,2508.88,2508.88,2506.77,2503.64,35.0,1.0,2.48,,8014,8019,TP2,2503.64,1.75,0.0,7.58,5,new_york
2024-08-30 13:30:00+00:00,XAU/USD,5min,1,LONG,SETUP_00096,2520.53003,2513.090088,65.0,8,3,2,2.8529,2.608,SSL_EQUAL_LOWS,8472,1.073,1.715,MSS_BULLISH,8473,LONG,0.735,MODERATE,RANGING,BB,2513.89,2513.66,2514.11,2514.11,2516.0,2521.48,35.0,1.0,3.92,,8538,8544,SL,2514.06,0.503,0.88,5.03,6,new_york
